Key,Value
CUW_PCPIE,0
CUW_PCPI,0
CUW_NGDP_FY,0
CUW_NGDPPC,0
CUW_LUR,0
CUW_LP,0
CUW_GGX_NGDP,0
CUW_GGXWDN_NGDP,0
CUW_GGX,0
CUW_BCA,0
CYP_PPPPC,35571.671
CYP_PPPGDP,33.486
CYP_PCPIE,124.501
CYP_PCPI,127.498
CYP_NGDP_FY,20.545
CYP_NGDPPC,21824.417
CYP_LUR,10.23
CYP_LP,0.941
CYP_GGX_NGDP,38.168
CYP_GGXWDN_NGDP,
CYP_GGX,7.842
CYP_BCA,-0.274
CZE_PPPPC,38025.962
CZE_PPPGDP,402.253
CZE_PCPIE,136.509
CZE_PCPI,134.967
CZE_NGDP_FY,5446.702
CZE_NGDPPC,514890.019
CZE_LUR,4.559
CZE_LP,10.578
CZE_GGX_NGDP,38.372
CZE_GGXWDN_NGDP,
CZE_GGX,2090.016
CZE_BCA,-1.393
CIV_PPPPC,4486.136
CIV_PPPGDP,118.88
CIV_PCPIE,162.594
CIV_PCPI,161.668
CIV_NGDP_FY,28392.268
CIV_NGDPPC,1071433.709
CIV_LUR,
CIV_LP,26.499
CIV_GGX_NGDP,23.382
CIV_GGXWDN_NGDP,
CIV_GGX,6638.544
CIV_BCA,-2.375
DNK_PPPPC,54725.104
DNK_PPPGDP,313.046
DNK_PCPIE,145.109
DNK_PCPI,144.758
DNK_NGDP_FY,2439.407
DNK_NGDPPC,426444.969
DNK_LUR,4.5
DNK_LP,5.72
DNK_GGX_NGDP,51.443
DNK_GGXWDN_NGDP,8.649
DNK_GGX,1254.915
DNK_BCA,16.829
DJI_PPPPC,4254.821
DJI_PPPGDP,4.717
DJI_PCPIE,198.333
DJI_PCPI,198.619
DJI_NGDP_FY,507.229
DJI_NGDPPC,457553.992
DJI_LUR,
DJI_LP,1.109
DJI_GGX_NGDP,29.171
DJI_GGXWDN_NGDP,
DJI_GGX,147.965
DJI_BCA,-0.359
DMA_PPPPC,13570.035
DMA_PPPGDP,0.96
DMA_PCPIE,111.938
DMA_PCPI,111.121
DMA_NGDP_FY,1.765
DMA_NGDPPC,24478.618
DMA_LUR,
DMA_LP,0.071
DMA_GGX_NGDP,33.449
DMA_GGXWDN_NGDP,87.958
DMA_GGX,0.59
DMA_BCA,-0.082
DOM_PPPPC,16684.712
DOM_PPPGDP,196.804
DOM_PCPIE,148.057
DOM_PCPI,145.426
DOM_NGDP_FY,4404.708
DOM_NGDPPC,373423.384
DOM_LUR,5.6
DOM_LP,11.795
DOM_GGX_NGDP,17.605
DOM_GGXWDN_NGDP,
DOM_GGX,775.458
DOM_BCA,-3.557
ECU_PPPPC,14192.394
ECU_PPPGDP,248.518
ECU_PCPIE,120.172
ECU_PCPI,118.738
ECU_NGDP_FY,145.107
ECU_NGDPPC,8286.797
ECU_LUR,5.0
ECU_LP,17.511
ECU_GGX_NGDP,34.15
ECU_GGXWDN_NGDP,
ECU_GGX,49.555
ECU_BCA,-4.34
EGY_PPPPC,14026.152
EGY_PPPGDP,1369.489
EGY_PCPIE,477.214
EGY_PCPI,493.702
EGY_NGDP_FY,4365.984
EGY_NGDPPC,44715.909
EGY_LUR,8.854
EGY_LP,97.638
EGY_GGX_NGDP,30.565
EGY_GGXWDN_NGDP,77.745
EGY_GGX,1334.454
EGY_BCA,-2.356
SLV_PPPPC,9976.533
SLV_PPPGDP,64.927
SLV_PCPIE,121.265
SLV_PCPI,120.076
SLV_NGDP_FY,32.456
SLV_NGDPPC,4987.146
SLV_LUR,5.537
SLV_LP,6.508
SLV_GGX_NGDP,23.684
SLV_GGXWDN_NGDP,
SLV_GGX,7.687
SLV_BCA,-1.902
GNQ_PPPPC,20561.785
GNQ_PPPGDP,18.236
GNQ_PCPIE,242.831
GNQ_PCPI,238.018
GNQ_NGDP_FY,4372.5
GNQ_NGDPPC,4930132.396
GNQ_LUR,
GNQ_LP,0.887
GNQ_GGX_NGDP,25.166
GNQ_GGXWDN_NGDP,20.544
GNQ_GGX,1100.383
GNQ_BCA,-0.646
ERI_PPPPC,1287.948
ERI_PPPGDP,10.228
ERI_PCPIE,1591.151
ERI_PCPI,1678.251
ERI_NGDP_FY,115.2
ERI_NGDPPC,14506.258
ERI_LUR,
ERI_LP,7.941
ERI_GGX_NGDP,26.949
ERI_GGXWDN_NGDP,
ERI_GGX,31.045
ERI_BCA,-0.269
EST_PPPPC,36918.101
EST_PPPGDP,47.898
EST_PCPIE,158.181
EST_PCPI,160.295
EST_NGDP_FY,27.161
EST_NGDPPC,20935.056
EST_LUR,6.458
EST_LP,1.297
EST_GGX_NGDP,39.077
EST_GGXWDN_NGDP,-0.25
EST_GGX,10.614
EST_BCA,-0.264
SWZ_PPPPC,8874.439
SWZ_PPPGDP,10.582
SWZ_PCPIE,355.557
SWZ_PCPI,336.177
SWZ_NGDP_FY,58.698
SWZ_NGDPPC,48536.342
SWZ_LUR,
SWZ_LP,1.192
SWZ_GGX_NGDP,36.013
SWZ_GGXWDN_NGDP,26.122
SWZ_GGX,21.139
SWZ_BCA,-0.135
ETH_PPPPC,2474.632
ETH_PPPGDP,255.048
ETH_PCPIE,986.563
ETH_PCPI,877.588
ETH_NGDP_FY,2672.487
ETH_NGDPPC,25930.15
ETH_LUR,
ETH_LP,103.065
ETH_GGX_NGDP,18.908
ETH_GGXWDN_NGDP,23.458
ETH_GGX,505.307
ETH_BCA,-5.449
FLK_PPPPC,0
FLK_PPPGDP,0
FLK_PCPIE,0
FLK_PCPI,0
FLK_NGDP_FY,0
FLK_NGDPPC,0
FLK_LUR,0
FLK_LP,0
FLK_GGX_NGDP,0
FLK_GGXWDN_NGDP,0
FLK_GGX,0
FLK_BCA,0
FRO_PPPPC,0
FRO_PPPGDP,0
FRO_PCPIE,0
FRO_PCPI,0
FRO_NGDP_FY,0
FRO_NGDPPC,0
FRO_LUR,0
FRO_LP,0
FRO_GGX_NGDP,0
FRO_GGXWDN_NGDP,0
FRO_GGX,0
FRO_BCA,0
FJI_PPPPC,10604.046
FJI_PPPGDP,9.675
FJI_PCPIE,147.155
FJI_PCPI,144.134
FJI_NGDP_FY,11.676
FJI_NGDPPC,12797.914
FJI_LUR,8.75
FJI_LP,0.912
FJI_GGX_NGDP,29.595
FJI_GGXWDN_NGDP,42.395
FJI_GGX,3.456
FJI_BCA,-0.446
FIN_PPPPC,47527.5
FIN_PPPGDP,268.26
FIN_PCPIE,135.14
FIN_PCPI,134.268
FIN_NGDP_FY,246.15
FIN_NGDPPC,43610.203
FIN_LUR,7.2
FIN_LP,5.644
FIN_GGX_NGDP,57.015
FIN_GGXWDN_NGDP,-30.431
FIN_GGX,140.343
FIN_BCA,0.039
FRA_PPPPC,48094.967
FRA_PPPGDP,3159.792
FRA_PCPIE,123.269
FRA_PCPI,123.202
FRA_NGDP_FY,2525.265
FRA_NGDPPC,38436.872
FRA_LUR,9.362
FRA_LP,65.699
FRA_GGX_NGDP,53.194
FRA_GGXWDN_NGDP,84.395
FRA_GGX,1343.295
FRA_BCA,-7.709
GUF_PPPPC,0
GUF_PPPGDP,0
GUF_PCPIE,0
GUF_PCPI,0
GUF_NGDP_FY,0
GUF_NGDPPC,0
GUF_LUR,0
GUF_LP,0
GUF_GGX_NGDP,0
GUF_GGXWDN_NGDP,0
GUF_GGX,0
GUF_BCA,0
PYF_PPPPC,0
PYF_PPPGDP,0
PYF_PCPIE,0
PYF_PCPI,0
PYF_NGDP_FY,0
PYF_NGDPPC,0
PYF_LUR,0
PYF_LP,0
PYF_GGX_NGDP,0
PYF_GGXWDN_NGDP,0
PYF_GGX,0
PYF_BCA,0
ATF_PPPPC,0
ATF_PPPGDP,0
ATF_PCPIE,0
ATF_PCPI,0
ATF_NGDP_FY,0
ATF_NGDPPC,0
ATF_LUR,0
ATF_LP,0
ATF_GGX_NGDP,0
ATF_GGXWDN_NGDP,0
ATF_GGX,0
ATF_BCA,0
GAB_PPPPC,32268.753
GAB_PPPGDP,55.55
GAB_PCPIE,144.027
GAB_PCPI,142.667
GAB_NGDP_FY,11296.818
GAB_NGDPPC,6562263.228
GAB_LUR,
GAB_LP,1.721
GAB_GGX_NGDP,24.874
GAB_GGXWDN_NGDP,
GAB_GGX,2809.987
GAB_BCA,-0.58
GMB_PPPPC,2174.237
GMB_PPPGDP,4.934
GMB_PCPIE,506.994
GMB_PCPI,495.642
GMB_NGDP_FY,66.186
GMB_NGDPPC,29165.399
GMB_LUR,
GMB_LP,2.269
GMB_GGX_NGDP,26.118
GMB_GGXWDN_NGDP,66.537
GMB_GGX,17.286
GMB_BCA,-0.098
GEO_PPPPC,11050.327
GEO_PPPGDP,48.289
GEO_PCPIE,337.739
GEO_PCPI,340.703
GEO_NGDP_FY,47.17
GEO_NGDPPC,10794.307
GEO_LUR,14.563
GEO_LP,4.37
GEO_GGX_NGDP,30.56
GEO_GGXWDN_NGDP,
GEO_GGX,14.415
GEO_BCA,-1.381
DEU_PPPPC,54952.032
DEU_PPPGDP,4500.566
DEU_PCPIE,126.154
DEU_PCPI,126.281
DEU_NGDP_FY,3440.555
DEU_NGDPPC,42009.27
DEU_LUR,4.782
DEU_LP,81.9
DEU_GGX_NGDP,43.786
DEU_GGXWDN_NGDP,37.083
DEU_GGX,1506.494
DEU_BCA,276.524
DE_PPPPC,0
DE_PPPGDP,0
DE_PCPIE,0
DE_PCPI,0
DE_NGDP_FY,0
DE_NGDPPC,0
DE_LUR,0
DE_LP,0
DE_GGX_NGDP,0
